Area	Feature	Count	Unique Value Count	Missing Value Count	Min	Max	Mean	Mean Deviation	1st Quartile	Median	3rd Quartile	Range	Sample Variance	Sample Standard Deviation	Sample Skewness	Sample Kurtosis	P0.5	P1	P5	P95	P99	P99.5
Computer	Number of Web Hits	25	25	0	93	1302	353.28	147.1936	231	313	414	1209	57176.8766666667	239.11686821859	2.78138915651629	10.2771186173099	97.08	101.16	130	656.8	1155.6	1228.8
Computer	Number of Citations	25	12	0	0	18	3.8	3.904	0	1	5	18	26.6666666666667	5.16397779494322	1.59681629946554	1.84381422924901	0	0	0	15	17.52	17.76
Computer	Number of Web Hits per Day	20	20	5	0.0286348054043154	6.17061611374408	0.386185987785485	0.578443012595859	0.0528792555702292	0.0770749084501281	0.113538062283737	6.14198130833976	1.85511962065689	1.36202776060435	4.46651900340817	19.9647776015824	0.0290684771393313	0.0295021488743472	0.0329715227544745	0.466506957798064	5.02979428255487	5.60020519814947
Computer	Number of Citations per Day	20	15	5	0	0.00519031141868512	0.00100095306850944	0.000939640525555613	0	0.00048091242056405	0.00139933226802503	0.00519031141868512	1.65229423819117E-06	0.00128541597865873	2.00866410475845	5.05534270548052	0	0	0	0.00270875823931969	0.00469400078281203	0.00494215610074858
Life	Number of Web Hits	44	43	0	140	3502	609.318181818182	365.448347107438	296.25	424.5	659.5	3362	369262.315010571	607.669577163915	3.24931173887684	12.3494429820941	149.245	158.49	199.75	1880.85	2908.6	3205.3
Life	Number of Citations	44	28	0	0	100	21.7954545454545	18.3398760330578	4	12.5	34	100	551.608350951374	23.4863439247443	1.57619359404379	2.68576770854592	0	0	0	57.25	96.13	98.065
Life	Number of Web Hits per Day	38	38	6	0.0351930159596235	0.49185393258427	0.136281011924271	0.0899542139620658	0.0503303115229577	0.0989330550290236	0.141379697551403	0.456660916624646	0.0154999002147382	0.124498595231987	1.7684701616679	2.4221816044459	0.0354167833818255	0.0356405508040275	0.0370568377671318	0.452277598566683	0.487863896820767	0.489858914702518
Life	Number of Citations per Day	38	37	6	0	0.0140449438202247	0.00385870009482584	0.00275784871364164	0.00116787659373748	0.00278046421663443	0.00591695450750264	0.0140449438202247	1.20001120114875E-05	0.00346411778256564	1.24314662837137	1.29823881643723	0	0	0.00037280701754386	0.00962783394410024	0.0135838982916923	0.0138144210559585
Physical	Number of Web Hits	25	25	0	122	1225	359.28	158.9408	212	310	385	1103	59318.0433333333	243.552957964656	2.27495714392944	6.12061950327442	124.16	126.32	144.6	784.2	1123.96	1174.48
Physical	Number of Citations	25	15	0	0	55	15.08	16.1088	0	6	28	55	364.66	19.096072894708	1.07306286558667	-0.301004548511934	0	0	0	52.8	54.52	54.76
Physical	Number of Web Hits per Day	20	20	5	0.0221238938053097	3.32231404958678	0.22747715356309	0.309483689602369	0.0437539677274713	0.0536709750220548	0.0823931777794243	3.30019015578147	0.532253092850041	0.729556778359327	4.44992375838289	19.8582745268679	0.0226832643825862	0.0232426349598627	0.0277175995780745	0.359269229450293	2.72970508555948	3.02600956757313
Physical	Number of Citations per Day	20	13	5	0	0.00792964244521338	0.00231069976135812	0.00236133713076427	0	0.000806473349864151	0.00500858614768174	0.00792964244521338	7.57675232186689E-06	0.00275259011148897	0.899054692186539	-0.73355819664556	0	0	0	0.00705057694984688	0.00775382934614008	0.00784173589567673
Business	Number of Web Hits	5	5	0	213	703	451.8	150.24	315	463	565	490	37945.2	194.79527715014	0.0634325776806796	-1.27343188486648	215.04	217.08	233.4	675.4	697.48	700.24
Business	Number of Citations	5	4	0	1	11	4.8	3.36	1	4	7	10	18.2	4.26614580154031	0.744424668907831	-0.760173892042025	1	1	1	10.2	10.84	10.92
Business	Number of Web Hits per Day	2	2	3	0.0546590317542946	0.117954070981211	0.0863065513677528	0.0316475196134581	0.0704827915610237	0.0863065513677528	0.102130311174482	0.0632950392269162	0.00200313099536843	0.044756351452821			0.0549755069504292	0.0552919821465638	0.0578237837156404	0.114789319019865	0.117321120588942	0.117637595785076
Business	Number of Citations per Day	2	2	3	0.000173520735727919	0.00146137787056367	0.000817449303145797	0.000643928567417877	0.000495485019436858	0.000817449303145797	0.00113941358685474	0.00128785713483575	8.2928799987368E-07	0.00091065251324184			0.000179960021402098	0.000186399307076277	0.000237913592469707	0.00139698501382189	0.00144849929921532	0.0014549385848895
All	Number of Web Hits	121	109	0	93	3502	482.090909090909	271.376408715251	248	347	480	3409	229821.033333333	479.396530372648	3.75300074286564	17.2948349423408	110.4	123	144	1285	2568.4	3008.8
All	Number of Citations	121	38	0	0	100	14.099173553719	14.1840038248754	1	6	19	100	355.823415977961	18.8632822164639	1.99683738213062	4.73473532142576	0	0	0	52	84.4	94.6
All	Number of Web Hits per Day	99	99	22	0.0221238938053097	6.17061611374408	0.245853613065333	0.29817070586514	0.0450883211689324	0.0726839439976169	0.119660491427238	6.14849221993877	0.688871823716209	0.829983026161505	5.93785020311946	36.2493823764569	0.0227099064884812	0.0232959191716528	0.0286158429528096	0.482148440186561	4.74457254326936	5.45759432850672
All	Number of Citations per Day	99	80	22	0	0.0140449438202247	0.00265061096549986	0.0023004602258501	0.00037335163151825	0.0016003200640128	0.00378364341640542	0.0140449438202247	9.07483278308154E-06	0.00301244631206625	1.60973458389637	2.66852465679843	0	0	0	0.00823215871513906	0.0128237962041119	0.0134343700121683
