Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Number of Web Hits	Number of Citations
Waveform Database Generator (Version 2)	Multivariate, Data-Generator	Real	Classification	5000	40	No	Physical	1988-11-10	62064	35
Wine	Multivariate	Integer, Real	Classification	178	13	No	Physical	1991-07-01	1534939	40
Yeast	Multivariate	Real	Classification	1484	8	No	Life	1996-09-01	314865	11
Zoo	Multivariate	Categorical, Integer	Classification	101	17	No	Life	1990-05-15	334220	16
Undocumented									28537	0
Twenty Newsgroups	Text			20000		No		1999-09-09	118417	0
Australian Sign Language signs	Multivariate, Time-Series	Categorical, Real	Classification	6650	15			1999-04-20	102967	1
Australian Sign Language signs (High Quality)	Multivariate, Time-Series	Real	Classification	2565	22			2002-02-26	114586	1
US Census Data (1990)	Multivariate	Categorical	Clustering	2458285	68		Social		161346	4
Census-Income (KDD)	Multivariate	Categorical, Integer	Classification	299285	40	Yes	Social	2000-03-07	180961	4
Coil 1999 Competition Data	Multivariate	Categorical, Real		340	17	No	Physical	1999-09-09	51957	0
Corel Image Features	Multivariate	Real		68040	89			1999-07-01	88833	1
E. Coli Genes	Relational					Yes	Life	2001-07-14	49249	7
EEG Database	Multivariate, Time-Series	Categorical, Integer, Real		122	4	Yes	Life	1999-10-13	220016	2
El Nino	Spatio-temporal	Integer, Real		178080	12	Yes	Physical	1999-06-30	102331	1
Entree Chicago Recommendation Data	Transactional, Sequential	Categorical	Recommender-Systems	50672		Yes		2000-03-09	96276	1
CMU Face Images	Image	Integer	Classification	640		Yes		1999-06-24	152037	2
Insurance Company Benchmark (COIL 2000)	Multivariate	Categorical, Integer	Regression, Description	9000	86	No	Social	2000-07-03	160678	3
Internet Usage Data	Multivariate	Categorical, Integer		10104	72	No	Computer	1999-06-30	119658	0
IPUMS Census Database	Multivariate	Categorical, Integer		256932	61		Social	1999-11-09	42443	3
Japanese Vowels	Multivariate, Time-Series	Real	Classification	640	12				113481	0
KDD Cup 1998 Data	Multivariate	Categorical, Integer	Regression	191779	481	Yes		1998-07-20	80330	1
KDD Cup 1999 Data	Multivariate	Categorical, Integer	Classification	4000000	42		Computer	1999-01-01	160323	1
M. Tuberculosis Genes	Relational						Life	2001-07-14	38867	0
Movie	Multivariate, Relational			10000		Yes		1999-07-07	216849	1
MSNBC.com Anonymous Web Data	Sequential	Categorical		989818			Computer		83247	0
NSF Research Award Abstracts 1990-2003	Text			129000				2003-11-18	48646	0
Pioneer-1 Mobile Robot Data	Multivariate, Time-Series	Categorical, Real					Computer	1999-01-28	40154	0
Pseudo Periodic Synthetic Time Series	Univariate, Time-Series			100000				1999-02-08	46804	0
Reuters-21578 Text Categorization Collection	Text	Categorical	Classification	21578	5			1997-09-26	196134	9
Robot Execution Failures	Multivariate, Time-Series	Integer	Classification	463	90		Physical	1999-04-23	105221	0
Synthetic Control Chart Time Series	Time-Series	Real	Classification, Clustering	600		No		1999-06-08	81771	0
Syskill and Webert Web Page Ratings	Multivariate, Text	Categorical	Classification	332	5		Computer	1998-10-20	69250	1
UNIX User Data	Text, Sequential						Computer		56500	1
Volcanoes on Venus - JARtool experiment	Image		Classification			Yes	Physical		49947	0
Statlog (Australian Credit Approval)	Multivariate	Categorical, Integer, Real	Classification	690	14	Yes	Financial		174253	11
Statlog (German Credit Data)	Multivariate	Categorical, Integer	Classification	1000	20		Financial	1994-11-17	656633	7
Statlog (Heart)	Multivariate	Categorical, Real	Classification	270	13	No	Life		230908	4
Statlog (Landsat Satellite)	Multivariate	Integer	Classification	6435	36		Physical	1993-02-13	137293	28
Statlog (Image Segmentation)	Multivariate	Real	Classification	2310	19	No		1990-11-01	62792	15
Statlog (Shuttle)	Multivariate	Integer	Classification	58000	9		Physical		143407	24
Statlog (Vehicle Silhouettes)	Multivariate	Integer	Classification	946	18				132245	25
Connectionist Bench (Nettalk Corpus)	Multivariate	Categorical		20008	4				47831	11
Connectionist Bench (Sonar, Mines vs. Rocks)	Multivariate	Real	Classification	208	60		Physical		191411	53
Connectionist Bench (Vowel Recognition - Deterding Data)		Real	Classification	528	10				76593	2
Economic Sanctions	Domain-Theory						Financial		60955	1
Protein Data							Life		73560	16
Cloud	Multivariate	Real		1024	10		Physical	1989-08-03	135379	4
CalIt2 Building People Counts	Multivariate, Time-Series	Categorical, Integer		10080	4	No		2006-12-01	55437	0
Dodgers Loop Sensor	Multivariate, Time-Series	Categorical, Integer		50400	3	Yes		2006-12-01	76188	0
Poker Hand	Multivariate	Categorical, Integer	Classification	1025010	11	No	Game	2007-01-01	621039	0
MAGIC Gamma Telescope	Multivariate	Real	Classification	19020	11	No	Physical	2007-05-01	119235	0
UJI Pen Characters	Multivariate, Sequential	Integer	Classification	1364		No	Computer	2007-06-01	98950	0
Mammographic Mass	Multivariate	Integer	Classification	961	6	Yes	Life	2007-10-29	178901	0
Forest Fires	Multivariate	Real	Regression	517	13		Physical	2008-02-29	942930	0
Reuters Transcribed Subset	Text		Classification	200			Business	2008-03-08	57837	0
Bag of Words	Text	Integer	Clustering	8000000	100000			2008-03-12	317912	0
Concrete Compressive Strength	Multivariate	Real	Regression	1030	9		Physical	2007-08-03	219055	0
Hill-Valley	Sequential	Real	Classification	606	101			2008-03-20	72425	0
Arcene	Multivariate	Real	Classification	900	10000		Life	2008-02-29	136812	0
Dexter	Multivariate	Integer	Classification	2600	20000			2008-02-29	105877	0
Dorothea	Multivariate	Integer	Classification	1950	100000		Life	2008-02-29	112086	0
Gisette	Multivariate	Integer	Classification	13500	5000		Computer	2008-02-29	120733	0
Madelon	Multivariate	Real	Classification	4400	500			2008-02-29	138623	0
Ozone Level Detection	Multivariate, Sequential, Time-Series	Real	Classification	2536	73	Yes	Physical	2008-04-21	144007	0
Abscisic Acid Signaling Network	Multivariate	Integer	Causal-Discovery	300	43		Life	2008-04-03	57579	0
Parkinsons	Multivariate	Real	Classification	197	23		Life	2008-06-26	278672	0
Character Trajectories	Time-Series	Real	Classification, Clustering	2858	3		Computer	2008-08-20	151143	0
Blood Transfusion Service Center	Multivariate	Real	Classification	748	5		Business	2008-10-03	340420	0
UJI Pen Characters (Version 2)	Multivariate, Sequential	Integer	Classification	11640			Computer	2009-01-22	66101	0
Semeion Handwritten Digit	Multivariate	Integer	Classification	1593	256		Computer	2008-11-11	130508	0
SECOM	Multivariate	Real	Classification, Causal-Discovery	1567	591	Yes	Computer	2008-11-19	127328	0
Plants	Multivariate	Categorical	Clustering	22632	70	Yes	Life	2008-12-31	198243	0
Libras Movement	Multivariate, Sequential	Real	Classification, Clustering	360	91			2009-08-17	86876	0
Concrete Slump Test	Multivariate	Real	Regression	103	10		Computer	2009-04-30	103363	0
Communities and Crime	Multivariate	Real	Regression	1994	128	Yes	Social	2009-07-13	298858	0
Acute Inflammations	Multivariate	Categorical, Integer	Classification	120	6	No	Life	2009-02-11	182134	0
Wine Quality	Multivariate	Real	Classification, Regression	4898	12		Business	2009-10-07	1357722	0
URL Reputation	Multivariate, Time-Series	Integer, Real	Classification	2396130	3231961		Computer	2009-10-15	141574	0
p53 Mutants	Multivariate	Real	Classification	16772	5409	Yes	Life	2010-02-09	81208	0
Parkinsons Telemonitoring	Multivariate	Integer, Real	Regression	5875	26		Life	2009-10-29	155794	0
Demospongiae	Multivariate	Integer	Classification	503		Yes	Life	2010-01-21	56823	0
Opinosis Opinion ⁄ Review	Text			51			Computer	2010-07-06	50356	0
Breast Tissue	Multivariate	Real	Classification	106	10		Life	2010-05-10	129545	0
Cardiotocography	Multivariate	Real	Classification	2126	23		Life	2010-09-07	175851	0
Wall-Following Robot Navigation Data	Multivariate, Sequential	Real	Classification	5456	24		Computer	2010-08-04	64389	0
Spoken Arabic Digit	Multivariate, Time-Series	Real	Classification	8800	13	No		2010-09-13	79810	0
Localization Data for Person Activity	Univariate, Sequential, Time-Series	Real	Classification	164860	8		Life	2010-11-03	108647	0
AutoUniv	Multivariate	Categorical, Integer, Real	Classification					2010-11-03	60527	0
Steel Plates Faults	Multivariate	Integer, Real	Classification	1941	27		Physical	2010-10-26	85274	0
MiniBooNE particle identification	Multivariate	Real	Classification	130065	50		Physical	2010-12-13	53612	0
YearPredictionMSD	Multivariate	Real	Regression	515345	90			2011-02-07	183649	0
PEMS-SF	Multivariate, Time-Series	Real	Classification	440	138672		Computer	2011-05-22	72497	0
OpinRank Review Dataset	Text						Computer	2011-07-26	52291	0
Relative location of CT slices on axial axis	Domain-Theory	Real	Regression	53500	386		Computer	2011-07-07	58565	0
Online Handwritten Assamese Characters Dataset	Multivariate, Sequential	Integer	Classification	8235			Computer	2011-04-01	48489	0
PubChem Bioassay Data	Multivariate	Integer, Real	Classification				Life	2011-03-29	40124	0
Record Linkage Comparison Patterns	Multivariate	Real	Classification	5749132	12	Yes		2011-03-10	82148	0
Communities and Crime Unnormalized	Multivariate	Real	Regression	2215	147	Yes	Social	2011-03-02	150123	0
Vertebral Column	Multivariate	Real	Classification	310	6			2011-08-09	175235	0
EMG Physical Action Data Set	Time-Series	Real	Classification	10000	8		Physical	2011-07-27	88231	0
Vicon Physical Action Data Set	Time-Series	Real	Classification	3000	27		Physical	2011-07-27	54055	0
Amazon Commerce reviews set	Multivariate, Text, Domain-Theory	Real	Classification	1500	10000		Physical	2011-06-11	205610	0
Amazon Access Samples	Time-Series, Domain-Theory		Regression, Clustering, Causal-Discovery	30000	20000		Business	2011-09-13	211560	0
Reuter_50_50	Multivariate, Text, Domain-Theory	Real	Classification, Clustering	2500	10000		Computer	2011-09-08	66928	0
Farm Ads	Text		Classification	4143	54877		Business	2011-10-18	76637	0
DBWorld e-mails	Text		Classification	64	4702		Computer	2011-11-06	60760	0
KEGG Metabolic Relation Network (Directed)	Multivariate, Univariate, Text	Integer, Real	Classification, Regression, Clustering	53414	24		Life	2011-11-28	58168	0
KEGG Metabolic Reaction Network (Undirected)	Multivariate, Univariate, Text	Integer, Real	Classification, Regression, Clustering	65554	29	Yes	Life	2011-11-28	55411	0
Bank Marketing	Multivariate	Real	Classification	45211	17		Business	2012-02-14	1324241	0
YouTube Comedy Slam Preference Data	Text		Classification	1138562	3		Computer	2012-04-10	94374	0
Gas Sensor Array Drift Dataset	Multivariate	Real	Classification	13910	128		Computer	2012-04-25	146411	0
ILPD (Indian Liver Patient Dataset)	Multivariate	Integer, Real	Classification	583	10		Life	2012-05-21	139041	0
OPPORTUNITY Activity Recognition	Multivariate, Time-Series	Real	Classification	2551	242	Yes	Computer	2012-06-09	102694	0
Nomao	Univariate	Real	Classification	34465	120	Yes	Computer	2012-07-04	53572	0
SMS Spam Collection	Multivariate, Text, Domain-Theory	Real	Classification, Clustering	5574			Computer	2012-06-22	328736	0
Skin Segmentation	Univariate	Real	Classification	245057	4		Computer	2012-07-17	210264	0
Planning Relax	Univariate	Real	Classification	182	13		Computer	2012-07-17	61361	0
PAMAP2 Physical Activity Monitoring	Multivariate, Time-Series	Real	Classification	3850505	52	Yes	Computer	2012-08-06	97910	0
Restaurant & consumer data	Multivariate			138	47	Yes	Computer	2012-08-04	147789	0
CNAE-9	Multivariate, Text	Integer	Classification	1080	857		Business	2012-08-03	67303	0
Individual household electric power consumption	Multivariate, Time-Series	Real	Regression, Clustering	2075259	9	Yes	Physical	2012-08-30	387231	0
seeds	Multivariate	Real	Classification, Clustering	210	7		Life	2012-09-29	322867	0
Northix	Multivariate, Univariate, Text	Integer, Real	Classification	115	200		Computer	2012-08-15	39105	0
QtyT40I10D100K	Sequential	Integer		3960456	4			2012-10-21	42109	0
Legal Case Reports	Text		Classification					2012-10-19	92379	0
Human Activity Recognition Using Smartphones	Multivariate, Time-Series		Classification, Clustering	10299	561		Computer	2012-12-10	1055781	0
One-hundred plant species leaves data set		Real	Classification	1600	64		Life	2012-12-03	74973	0
Energy efficiency	Multivariate	Integer, Real	Classification, Regression	768	8		Computer	2012-11-30	322416	0
Yacht Hydrodynamics	Multivariate	Real	Regression	308	7		Physical	2013-01-03	104072	0
Fertility	Multivariate	Real	Classification, Regression	100	10		Life	2013-01-17	209911	0
Daphnet Freezing of Gait	Multivariate, Time-Series	Real	Classification	237	9		Life	2013-03-07	73482	0
3D Road Network (North Jutland, Denmark)	Sequential, Text	Real	Regression, Clustering	434874	4		Computer	2013-04-16	193578	0
ISTANBUL STOCK EXCHANGE	Multivariate, Univariate, Time-Series	Real	Classification, Regression	536	8		Business	2013-06-01	140877	0
Buzz in social media 	Time-Series, Multivariate	Integer, Real	Regression, Classification	140000	77		Computer	2013-05-27	163413	0
First-order theorem proving	Multivariate	Real	Classification	6118	51		Computer	2013-04-17	44411	0
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio)	Sequential	Integer, Real	Classification	165632	18		Computer	2013-04-09	60663	0
Gas sensor arrays in open sampling settings	Multivariate, Time-Series	Real	Classification	18000	1950000		Computer	2013-06-05	47788	0
Climate Model Simulation Crashes	Multivariate	Real	Classification	540	18		Physical	2013-06-18	89502	0
MicroMass	Multivariate	Real	Classification	931	1300		Life	2013-08-12	48533	0
QSAR biodegradation	Multivariate	Integer, Real	Classification	1055	41			2013-06-21	49524	0
BLOGGER	Multivariate		Classification	100	6		Computer	2013-07-06	84685	0
Daily and Sports Activities	Multivariate, Time-Series	Real	Classification, Clustering	9120	5625		Computer	2013-07-08	195854	0
User Knowledge Modeling	Multivariate	Integer	Classification, Clustering	403	5		Computer	2013-06-26	131119	0
Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection	Multivariate	Real	Classification	111740			Life	2013-09-06	62076	0
NYSK	Multivariate, Sequential, Text		Clustering	10421	7		Social	2013-10-11	54755	0
Turkiye Student Evaluation	Multivariate		Classification, Clustering	5820	33			2013-09-01	104008	0
ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines)	Multivariate	Real	Classification	403	5		Computer	2013-06-20	39158	0
EEG Eye State	Multivariate, Sequential, Time-Series	Integer, Real	Classification	14980	15		Life	2013-06-10	127394	0
Physicochemical Properties of Protein Tertiary Structure	Multivariate	Real	Regression	45730	9		Life	2013-03-31	57640	0
seismic-bumps	Multivariate	Real	Classification	2584	19			2013-04-03	68655	0
banknote authentication	Multivariate	Real	Classification	1372	5		Computer	2013-04-16	274243	0
USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat	Domain-Theory	Integer	Classification	306	5			2013-10-13	34596	0
YouTube Multiview Video Games Dataset	Multivariate, Text	Integer, Real	Classification, Clustering	120000	1000000	Yes	Computer	2013-10-16	133283	0
Gas Sensor Array Drift Dataset at Different Concentrations	Multivariate, Time-Series	Real	Classification, Regression, Clustering, Causa	13910	129		Computer	2013-10-23	72574	0
Activities of Daily Living (ADLs) Recognition Using Binary Sensors	Multivariate, Sequential, Time-Series		Classification, Clustering	2747			Computer	2013-10-28	93173	0
SkillCraft1 Master Table Dataset	Multivariate	Integer, Real	Regression	3395	20	Yes	Game	2013-10-22	66331	0
Weight Lifting Exercises monitored with Inertial Measurement Units	Multivariate	Real	Classification	39242	152	Yes	Physical	2013-11-24	46640	0
SML2010	Multivariate, Sequential, Time-Series, Text	Real	Regression	4137	24	Yes	Computer	2014-01-09	130020	0
Bike Sharing Dataset	Univariate	Integer, Real	Regression	17389	16		Social	2013-12-20	523916	0
Predict keywords activities in a online social media	Multivariate, Sequential, Time-Series	Integer, Real		51	35		Computer	2013-12-12	46535	0
Thoracic Surgery Data	Multivariate	Integer, Real	Classification	470	17		Life	2013-11-13	104565	0
EMG dataset in Lower Limb	Multivariate, Time-Series	Real		132	5		Computer	2014-02-05	51147	0
SUSY		Real	Classification	5000000	18		Physical	2014-02-12	72542	0
HIGGS		Real	Classification	11000000	28		Physical	2014-02-12	157406	0
Qualitative_Bankruptcy	Multivariate		Classification	250	7		Computer	2014-02-09	84097	0
LSVT Voice Rehabilitation	Multivariate	Real	Classification	126	309		Life	2014-02-19	35898	0
Dataset for ADL Recognition with Wrist-worn Accelerometer	Multivariate, Time-Series		Classification, Clustering		3		Computer	2014-02-11	81587	0
Wilt	Multivariate		Classification	4889	6		Life	2014-03-13	61955	0
User Identification From Walking Activity	Univariate, Sequential, Time-Series	Real	Classification, Clustering					2014-03-02	75617	0
Activity Recognition from Single Chest-Mounted Accelerometer	Univariate, Sequential, Time-Series	Real	Classification, Clustering					2014-03-02	113864	0
Leaf	Multivariate	Real	Classification	340	16		Computer	2014-02-24	131614	0
Dresses_Attribute_Sales	Text		Classification, Clustering	501	13	Yes	Computer	2014-02-19	113266	0
Tamilnadu Electricity Board Hourly Readings	Multivariate	Real	Classification, Regression, Clustering	45781	5		Life	2013-12-22	76681	0
Airfoil Self-Noise	Multivariate	Real	Regression	1503	6		Physical	2014-03-04	139067	0
Wholesale customers	Multivariate	Integer	Classification, Clustering	440	8		Business	2014-03-31	363377	0
Twitter Data set for Arabic Sentiment Analysis	Text		Classification	2000	2		Social	2014-04-11	93511	0
Combined Cycle Power Plant	Multivariate	Real	Regression	9568	4		Computer	2014-03-26	182003	0
Urban Land Cover	Multivariate		Classification	168	148		Physical	2014-03-27	48830	0
Diabetes 130-US hospitals for years 1999-2008	Multivariate	Integer	Classification, Clustering	100000	55	Yes	Life	2014-05-03	329230	0
Bach Choral Harmony	Sequential		Classification	5665	17			2014-05-20	51347	0
StoneFlakes	Multivariate	Real	Classification, Clustering, Causal-Discovery	79	8	Yes		2014-05-20	64749	0
Tennis Major Tournament Match Statistics	Multivariate	Integer, Real	Classification, Regression, Clustering	127	42	Yes		2014-06-01	104149	0
Parkinson Speech Dataset with  Multiple Types of Sound Recordings	Multivariate	Integer, Real	Classification, Regression	1040	26		Life	2014-06-12	104223	0
Gesture Phase Segmentation	Multivariate, Sequential, Time-Series	Real	Classification, Clustering	9900	50			2014-06-18	54067	0
Perfume Data	Univariate, Domain-Theory	Integer	Classification, Clustering	560	2		Computer	2014-07-22	146743	0
BlogFeedback	Multivariate	Integer, Real	Regression	60021	281		Social	2014-05-29	100529	0
REALDISP Activity Recognition Dataset	Multivariate, Time-Series	Real	Classification	1419	120		Computer	2014-07-25	46476	0
